PlotCode,AGB,Lat,Long,Area,Altitude,Midpoint,Continent,VPD,VPDmax,Srad,Srad.cv,MTWM,Alt.WC,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,Min.temp,Max.temp,WarmMin,CloudSD,Cloud,Warm.rate,Warm.rate2,mcwd,ndry1,ndry2,wind,wind.max,CEC,Sand,Clay,pH,Rock.depth,Rhoriz.prob
ACL-01,313.1569143,8.75,-71.5,0.259,1000,1975.7995,SA,0.506044816,0.660240507,16457.16667,0.065014545,23.21000076,1502,22.54333338,9.533333302,82.89855045,60.35247776,27.78555417,16.51,11.5,22.95999997,21.67666698,23.05999971,21.67666698,1179,148,35,40.61732816,424,129,337,129,17.5522209,27.31000003,18.51,0.44,99.36,0.02457672,0.02439496,-203,8,5,2.158333321,2.400000095,3.235405127,39.08333333,30.91666667,57.83333333,58.18,49
ALM-01,256.7256,-11.8,-71.47,2,400,2003.70325,SA,0.757812324,0.864870864,14589.25,0.068903632,25.55500076,371,24.78416663,10.99166648,83.90584852,77.47311106,31.02752305,17.855,13.10000038,25.27166667,23.68833333,25.48833321,23.68833333,2469,345,74,48.78009218,976,253,770,269,19.36085606,30.27999987,20.25499962,12.53,67.54,0.003101852,0.003877544,-47,4,3,1.075000018,1.200000048,2.63905733,44.66666667,29.58333333,52.08333333,16.73,13
BDF-03,292.0605027,-2.42,-59.85,1,75,1995.229,SA,0.586099168,0.765779877,14848.83333,0.133951091,27.34500076,104,26.53666657,8.850000381,84.28571792,47.61748033,32.24236694,21.54499962,10.5,26.21166629,26.69499987,27.22833333,26.11166686,2389,318,98,39.54214478,909,320,418,796,22.3090337,30.96166676,22.74500038,9.76,76.06,0.019345839,0.01929488,-2,1,1,1.183333357,1.299999952,2.233592222,47.5,32,41.83333333,17.07,6
BDF-04,252.297629,-2.43,-59.85,1,75,1995.35575,SA,0.582656904,0.775779868,14806.41667,0.135799139,27.40500076,116,26.55916659,8.808333874,83.88889404,48.638659,32.20481219,21.50499924,10.5,26.25499987,26.72166641,27.25499987,26.1383334,2396,317,98,39.43628586,911,320,418,797,22.3548126,30.96333352,22.80500038,9.72,76.13,0.019345839,0.01929488,-2,1,1,1.183333357,1.299999952,2.294216843,47.08333333,31.83333333,41.83333333,15.79,8
BDF-05,255.6339095,-2.43,-59.85,1,75,1995.2645,SA,0.582656904,0.775779868,14806.41667,0.135799139,27.40500076,116,26.55916659,8.808333874,83.88889404,48.638659,32.20305153,21.50499924,10.5,26.25499987,26.72166641,27.25499987,26.1383334,2396,317,98,39.43628586,911,320,418,797,22.35305194,30.96333352,22.80500038,9.72,76.13,0.019345839,0.01929488,-2,1,1,1.183333357,1.299999952,2.233592222,47.5,32,41.83333333,17.07,6
BDF-06,263.8708961,-2.41,-59.86,3,75,1995.415,SA,0.587847862,0.765779877,14878.08333,0.134579449,27.34000076,103,26.53166657,8.850000381,84.28571792,47.61748033,32.24095579,21.53999962,10.5,26.20666629,26.68999987,27.22333333,26.10666686,2387,319,99,39.38960253,908,323,416,794,22.30762255,30.95666676,22.74000038,9.85,75.77,0.019345839,0.01929488,-1,1,1,1.183333357,1.299999952,2.159484249,46.08333333,32.75,42.08333333,15.56,5
BDF-07,296.6068288,-2.4,-59.9,1,75,1995.5575,SA,0.580156907,0.775779868,14888.91667,0.133615176,27.39000076,113,26.52750002,8.758334001,84.2147531,47.91682326,32.19370493,21.58999962,10.39999962,26.20666673,26.69,27.22333314,26.10666667,2389,318,100,39.09163843,908,323,420,789,22.35203871,30.90666702,22.79000038,10.33,74.63,0.019345839,0.01929488,0,0,0,1.183333357,1.299999952,2.260025479,44.08333333,34.08333333,42.5,16.7,10
BDF-08,272.6900853,-2.4,-59.9,1,75,1995.5575,SA,0.580156907,0.775779868,14888.91667,0.133615176,27.39000076,113,26.52750002,8.758334001,84.2147531,47.91682326,32.19370493,21.58999962,10.39999962,26.20666673,26.69,27.22333314,26.10666667,2389,318,100,39.09163843,908,323,420,789,22.35203871,30.90666702,22.79000038,10.33,74.63,0.019345839,0.01929488,0,0,0,1.183333357,1.299999952,2.260025479,44.08333333,34.08333333,42.5,16.7,10
BDF-09,324.4259604,-2.4,-59.85,1,75,1997.0395,SA,0.584348312,0.775779868,14888.75,0.135346521,27.38000076,111,26.555,8.816667239,84.77564964,47.74457707,32.21229994,21.57999962,10.39999962,26.22999987,26.71333314,27.2466666,26.14666686,2389,318,101,39.35390649,909,324,415,795,22.37896708,30.96333362,22.78000038,9.09,76,0.019345839,0.01929488,0,0,0,1.183333357,1.299999952,2.178532444,48.83333333,30.75,41.08333333,15.3,4
BDF-14,317.9875211,-2.36,-59.97,1,75,1996.6995,SA,0.583467476,0.775779868,14816.83333,0.134346067,27.41000076,117,26.53499997,8.850000699,84.28572095,46.78285714,32.23573968,21.50999924,10.5,26.22666673,26.69333327,27.21,26.1433334,2411,321,101,38.47331908,917,334,430,783,22.33574006,30.96000032,22.71,9.01,76.04,0.019345839,0.01929488,0,0,0,1.183333357,1.299999952,2.242481169,42.5,34.83333333,42,11.99,7
