PlotViewID,PlotCode,AGB,AGWP,Mort,Lat,Long,Area,Altitude,FirstCens,LastCens,MonitorLength,Midpoint,Continent,VPD,VPDmax,Srad,Srad.cv,MTWM,Alt.WC,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,Min.temp,Max.temp,WarmMin,CloudSD,Cloud,Warm.rate,Warm.rate2,mcwd,ndry1,ndry2,wind,wind.max,CEC,Sand,Clay,pH,Rock.depth,Rhoriz.prob,MEM1,MEM2,MEM3,MEM4,MEM5,MEM6,MEM7,MEM8,AGBChv_NoHt,AGWPChv_NoHt
1,ACL-01,313.1569143,7.333039981,8.966985078,8.75,-71.5,0.259,1000,1967.2,1984.399,17.199,1975.7995,SA,0.506044816,0.660240507,16457.16667,0.065014545,23.21000076,1502,22.54333338,9.533333302,82.89855045,60.35247776,28.01,16.51,11.5,22.95999997,21.67666698,23.05999971,21.67666698,1179,148,35,40.61732816,424,129,337,129,17.77666673,27.31000003,18.51,0.44,99.36,0.02457672,0.02439496,-203,8,5,2.158333321,2.400000095,25.41666667,39.08333333,30.91666667,57.83333333,58.18,49,-1.020758966,-0.312689969,-0.036536815,0.013905812,-0.010585742,-0.007212585,0.007674383,0.690539283,393.6029396,9.164118697
3,ALM-01,256.7256,5.612544548,4.959833021,-11.8,-71.47,2,400,1994.725,2012.6815,17.9565,2003.70325,SA,0.757812324,0.864870864,14589.25,0.068903632,25.55500076,371,24.78416663,10.99166648,83.90584852,77.47311106,30.95500038,17.855,13.10000038,25.27166667,23.68833333,25.48833321,23.68833333,2469,345,74,48.78009218,976,253,770,269,19.2883334,30.27999987,20.25499962,12.53,67.54,0.003101852,0.003877544,-47,4,3,1.075000018,1.200000048,14,44.66666667,29.58333333,52.08333333,16.73,13,-1.026572443,-0.317244279,-0.038328288,0.015684534,-0.015121376,-0.008883287,0.009095704,2.144412241,296.9387596,6.619058692
9,BDF-03,292.0605027,4.409994812,3.694518377,-2.42,-59.85,1,75,1981.129,2009.329,28.2,1995.229,SA,0.586099168,0.765779877,14848.83333,0.133951091,27.34500076,104,26.53666657,8.850000381,84.28571792,47.61748033,32.04499962,21.54499962,10.5,26.21166629,26.69499987,27.22833333,26.11166686,2389,318,98,39.54214478,909,320,418,796,22.11166638,30.96166676,22.74500038,9.76,76.06,0.019345839,0.01929488,-2,1,1,1.183333357,1.299999952,9.333333333,47.5,32,41.83333333,17.07,6,-1.03336774,-0.322559189,-0.040346775,0.017616043,-0.018638838,-0.002422967,-0.001995948,-0.631573792,376.156676,5.897492896
10,BDF-04,252.297629,4.161351968,5.938156942,-2.43,-59.85,1,75,1981.129,2009.5825,28.4535,1995.35575,SA,0.582656904,0.775779868,14806.41667,0.135799139,27.40500076,116,26.55916659,8.808333874,83.88889404,48.638659,32.00499924,21.50499924,10.5,26.25499987,26.72166641,27.25499987,26.1383334,2396,317,98,39.43628586,911,320,418,797,22.15499965,30.96333352,22.80500038,9.72,76.13,0.019345839,0.01929488,-2,1,1,1.183333357,1.299999952,9.916666667,47.08333333,31.83333333,41.83333333,15.79,8,-1.033367751,-0.322559201,-0.040346779,0.017616052,-0.018638813,-0.002422295,-0.001996976,-0.631705078,326.944311,5.286755296
11,BDF-05,255.6339095,4.11396533,2.894335801,-2.43,-59.85,1,75,1981.2,2009.329,28.129,1995.2645,SA,0.582656904,0.775779868,14806.41667,0.135799139,27.40500076,116,26.55916659,8.808333874,83.88889404,48.638659,32.00499924,21.50499924,10.5,26.25499987,26.72166641,27.25499987,26.1383334,2396,317,98,39.43628586,911,320,418,797,22.15499965,30.96333352,22.80500038,9.72,76.13,0.019345839,0.01929488,-2,1,1,1.183333357,1.299999952,9.333333333,47.5,32,41.83333333,17.07,6,-1.033366811,-0.322558467,-0.040346487,0.017615763,-0.018637986,-0.002421152,-0.001998536,-0.632216332,319.2437455,5.365178922
12,BDF-06,263.8708961,4.537857291,3.836821215,-2.41,-59.86,3,75,1981.501,2009.329,27.828,1995.415,SA,0.587847862,0.765779877,14878.08333,0.134579449,27.34000076,103,26.53166657,8.850000381,84.28571792,47.61748033,32.03999962,21.53999962,10.5,26.20666629,26.68999987,27.22333333,26.10666686,2387,319,99,39.38960253,908,323,416,794,22.10666638,30.95666676,22.74000038,9.85,75.77,0.019345839,0.01929488,-1,1,1,1.183333357,1.299999952,8.666666667,46.08333333,32.75,42.08333333,15.56,5,-1.033366606,-0.322558297,-0.040346421,0.017615683,-0.018637915,-0.002423063,-0.001995578,-0.631893422,337.1968092,6.057783374
13,BDF-07,296.6068288,3.990348858,3.335807611,-2.4,-59.9,1,75,1981.619,2009.496,27.877,1995.5575,SA,0.580156907,0.775779868,14888.91667,0.133615176,27.39000076,113,26.52750002,8.758334001,84.2147531,47.91682326,31.98999924,21.58999962,10.39999962,26.20666673,26.69,27.22333314,26.10666667,2389,318,100,39.09163843,908,323,420,789,22.14833302,30.90666702,22.79000038,10.33,74.63,0.019345839,0.01929488,0,0,0,1.183333357,1.299999952,9.583333333,44.08333333,34.08333333,42.5,16.7,10,-1.029260285,-0.319344691,-0.039087219,0.01637822,-0.015679906,-0.002031489,-0.001580679,-0.369280575,377.9738134,5.184130156
14,BDF-08,272.6900853,3.482414768,3.62529939,-2.4,-59.9,1,75,1981.619,2009.496,27.877,1995.5575,SA,0.580156907,0.775779868,14888.91667,0.133615176,27.39000076,113,26.52750002,8.758334001,84.2147531,47.91682326,31.98999924,21.58999962,10.39999962,26.20666673,26.69,27.22333314,26.10666667,2389,318,100,39.09163843,908,323,420,789,22.14833302,30.90666702,22.79000038,10.33,74.63,0.019345839,0.01929488,0,0,0,1.183333357,1.299999952,9.583333333,44.08333333,34.08333333,42.5,16.7,10,-1.029260285,-0.319344691,-0.039087219,0.01637822,-0.015679906,-0.002031489,-0.001580679,-0.369280575,352.2081096,4.516390087
15,BDF-09,324.4259604,4.698725839,3.792804482,-2.4,-59.85,1,75,1987.041,2007.038,19.997,1997.0395,SA,0.584348312,0.775779868,14888.75,0.135346521,27.38000076,111,26.555,8.816667239,84.77564964,47.74457707,31.97999924,21.57999962,10.39999962,26.22999987,26.71333314,27.2466666,26.14666686,2389,318,101,39.35390649,909,324,415,795,22.14666638,30.96333362,22.78000038,9.09,76,0.019345839,0.01929488,0,0,0,1.183333357,1.299999952,8.833333333,48.83333333,30.75,41.08333333,15.3,4,-1.0333603,-0.322553367,-0.040344463,0.017613739,-0.01863244,-0.002416667,-0.002004096,-0.635056295,422.4723299,6.213188514
20,BDF-14,317.9875211,3.633143329,3.917636394,-2.36,-59.97,1,75,1984.199,2009.2,25.001,1996.6995,SA,0.583467476,0.775779868,14816.83333,0.134346067,27.41000076,117,26.53499997,8.850000699,84.28572095,46.78285714,32.00999924,21.50999924,10.5,26.22666673,26.69333327,27.21,26.1433334,2411,321,101,38.47331908,917,334,430,783,22.10999962,30.96000032,22.71,9.01,76.04,0.019345839,0.01929488,0,0,0,1.183333357,1.299999952,9.416666667,42.5,34.83333333,42,11.99,7,-1.033390699,-0.322577003,-0.040353887,0.017622922,-0.018660322,-0.002474157,-0.001922328,-0.614142934,405.2642112,4.773468225
